Tweet,Location,Date
"b""Till now, we're yet to know the name of the Italian man in Nigeria infected with the corona virus. \nBut FG already released 690m for prevention of the virus.""",Oluyole Estate,2020-03-02 16:10:50
"b'@PulseNigeria247 1 Corona virus victim found in Nigeria = Panic mode !\n40 die in Man made chaos ! = No panic , no preventive measure !\nWhat a country !'","Victoria Island, Nigeria",2020-03-02 16:03:41
b'Nigeria vs Sierra Leone: Match could be postponed due to corona virus outbreak - https://t.co/iNYMQIW6Cr #soccerblitz https://t.co/ebDCxaj8yQ',Nigeria,2020-03-02 15:54:55
"b""@Mozeed23 @Lord_of_Saarl @i_am_dexterous @Mazigburugburu1 @MBuhari With all respect, you get sense joorh. Leave some clout chasers to be saying rubbish. We're doing well regarding Corona Virus here in Nigeria as per the effort put in place. Let's call a spade a spade &amp; appreciate our govt when deserved. I might not be a fan but I love the truth""","Lagos, Nigeria",2020-03-02 15:53:04
"b""What's the latest update on corona virus a.k.a covid-19 in Nigeria....\n\nAbi this heat don burn the idiot ?""","Uyo, Nigeria",2020-03-02 15:50:58
"b'Son Number 1:  Daddy are you aware that on the 27th of February, Corona Virus was first detected in Nigeria \n\nMe: oh really? (Feeling proud of School fees)\n\nS#1: Yes, almost made me forget the it was Pok\xc3\xa9mon day \n\nMe: https://t.co/UiIeTuCKPw'",helping the poor somewhere...,2020-03-02 15:49:29
b'@cnni CNN  the catfish news network the home of fake and compromised news media. You now  reported about the Corona virus in nigeria but for years you were mute to report about the ethnic cleansing and killing of Christians in Nigeria by the fulani militia herdsmen and boko haram',,2020-03-02 15:48:25
"b'ALL YOU NEED TO KNOW ABOUT THE CORONA VIRUS\n\nTo report any suspected cases of the disease,\nCall the NCDC toll Free line : 08009700010 or send a text to 08099555577\n#COVID19 #Nigeria #mondaythoughts https://t.co/uv1LWfj2qa'","Lagos, Nigeria",2020-03-02 15:46:01
"b'@SattelliteRaps @LikhayaCK @lgnwllams @MichuraV @TiddyGirl666 @AvalonGroove @FRANCE24 Then specify. I bet if the Corona virus was in Nigeria the news headlines would read ""Deadly virus in Africa "".  I didn\'t hear them talking about ""Deadly virus in Asia""'",,2020-03-02 15:43:03
b'There are now FOUR African countries with confirmed Corona Virus cases:\n\n1. Egypt\n2. Algeria\n3. Nigeria\n4. Tunisia',"Mombasa, Kenya",2020-03-02 15:40:51
"b'When we tell you that this corona Virus in Nigeria was a scam and a ploy to loot public fund and also deviate from the slaughter of Christians in the north, many see it as propaganda. https://t.co/hLXHKijRiZ'",,2020-03-02 15:38:51
"b""Does Nigeria have a President? Who is the president of Nigeria? Please, what has he said about the epidemic Corona Virus? It doesn't concern him, you should know that!!!""",,2020-03-02 15:38:31
"b'I am a little bit confused about d whole Corona Virus in Nigeria.\nI\xe2\x80\x99m beginning to think Magu was right!\nHas anyone seen the name or picture of the Italian man? Unlike Patrick Sawyer name and Picture that was everywhere,the accused driver has come out to debunk d claim.#COVID19'","Lagos, Nigeria",2020-03-02 15:35:22
b'Just one person that was tested positive to corona virus in Nigeria \n\nNigeria gonna be free from corona',Nigeria,2020-03-02 15:34:57
