Tweet,Location,Date
b'@BaeAndBoo99 @ObongRoviel Fine \xf0\x9f\x98\x84\xf0\x9f\x98\x84but scared \xf0\x9f\x98\xb1 of corona virus \xf0\x9f\xa6\xa0 ooo',,2020-02-29 22:02:58
b'Another way to prevent corona virus\xf0\x9f\x98\x82\n\nPrevention is better than cure\xf0\x9f\x98\x8a https://t.co/E90YNH3z43',Nigeria,2020-02-29 22:02:39
"b""@iamMcHorf Let's solve corona virus first.\nUr question will be attempted later.""",ibadan,2020-02-29 22:01:50
b'@CampusSlayer Madam abeg make we hear word \nCorona virus Dey town \xf0\x9f\x98\xad\xf0\x9f\x98\xad',"Lagos, Nigeria",2020-02-29 22:01:25
"b'@faruk_wizkidFC @TobiAdeniji5 You need to be quarantined,this is Corona virus speaking'",Calabar,2020-02-29 21:59:40
b'@realDonaldTrump This is a President hosting press conference on the development of corona virus. My president @MBuhari can you see this.',"Lagos, Nigeria",2020-02-29 21:58:50
b'@ShehuSani May Corona Virus infected all those behind the insurgence in Nigeria',Kano,2020-02-29 21:57:57
b'I\xe2\x80\x99m muting this word corona virus on twitter I\xe2\x80\x99m tired of seeing it on my timeline \xf0\x9f\x98\xa9',"Kaduna, Nigeria",2020-02-29 21:56:58
"b'@MBuhari Mr President know what you are doing oo, what matter most is Corona virus that entered Nigeria ...seems like minister of health is somehow slack in that area ..baba know what you are doing Mr President ..u know how Nigerian its, once it enter it will be hard to eradicate it ...'","Lagos, Nigeria",2020-02-29 21:56:32
b'The only thing we should address now is the corona virus plsss https://t.co/UVLh4yEs9d',"Lagos, Nigeria",2020-02-29 21:55:57
b'Almost all the countries that have the Corona virus incidence were so because an italian travelled to the place.\n\nWhat in the Picasso is going on?',"Lagos, Nigeria",2020-02-29 21:55:53
b'@Dj_BreezyMillz @DJ_TUNEZ With Corona virus',"Lagos, Nigeria",2020-02-29 21:55:21
b'@nkemofong @RosemaryOcheze @BashirAhmaad Buhari is a known  virus  that we all accepted as Fate . How to exonerate him is what we should be thinking . How can Corona chose Nigeria of all country knowing that we already have a more dangerous virus in person of our president',"Lagos,Nigeria",2020-02-29 21:53:45
b'#BOB \nI don\xe2\x80\x99t know why you guys are scared of this corona virus. Have y\xe2\x80\x99all forgotten that China products don\xe2\x80\x99t last?? Face with rolling eyes \xf0\x9f\x98\x81\xf0\x9f\x98\x81\xf0\x9f\x98\x81\xf0\x9f\x98\x81\n\n#CoronavirusInNigeria',"Lagos, Nigeria",2020-02-29 21:53:31
b'Is this campaign against Corona virus or campaign for the school insensitivity?\n\nJoker everywhere!\xf0\x9f\x98\x82\n#COVID19Nigeria \n#COVID2019 https://t.co/pyC711SggY',"Ilorin, Nigeria",2020-02-29 21:52:41
b'@MBuhari And uptil now.\nNo comments on the issue about corona virus in your country.\nTragic\xf0\x9f\x99\x84',"Owerri, Nigeria",2020-02-29 21:52:19
"b""Corona virus and health wise: @jidesanwoolu @followlasg please look into buses that convene people from office/home, some will sit while people standing will be times 100 of passengers that sit it's like loading cows. BRT buses not an exception, It's even now worse than #molue""",Lagos,2020-02-29 21:52:14
b'@RobWayTV @Jerri47 Maybe rallies will be a good place to catch corona virus. Fingers crossed \xf0\x9f\xa4\x9e\xf0\x9f\x8f\xbd',Limbo ,2020-02-29 21:51:47
b'I bet... The world rather prefer Liverpool loosing their unbeaten run than Corona Virus having a cure. #WATLIV',Lagos ,2020-02-29 21:50:37
b'Thats how i beard one igno man saying...baby girl \xe2\x80\x9ccan i be your corona virus? Baby cough me\xe2\x80\x9d',"Lagos, Nigeria",2020-02-29 21:50:12
b'My big sis kukuma said we don\xe2\x80\x99t have a border in this country. Cos I don\xe2\x80\x99t understand why Baba will close  border for rice but will leave it open for corona virus. The Lord is our strength.\xf0\x9f\xa4\xa6\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f',"Abuja, Nigeria",2020-02-29 21:50:12
b'@aestheticstweet With Corona virus all around town',"Lagos, Nigeria",2020-02-29 21:49:51
b'@farouq_yahaya Wizzzzdoooommmm!!! Na only Corona virus fit infect you this kain wisdom\xf0\x9f\x98\x82',"Owerri, Nigeria",2020-02-29 21:49:25
"b'@shank_comics So funny...I was at my work place this evening, I work at an hospital and a patient walked in and was like  ""pls I hope Corona virus has not entered Ekiti, I have been coughing and sneezing"", honestly I didn\'t know when I said, Pls shift back\xf0\x9f\xa4\xa3'","Ekiti, Nigeria",2020-02-29 21:48:05
b'@Zik_Allen hope you are safe with this sudden increase in the number of those infected with Corona Virus. Please stay safe Fam',"Ibadan, Nigeria",2020-02-29 21:46:20
b'Klopp : My players didn\xe2\x80\x99t want to attack because of the fear of corona virus \nThe Premier league must do something about the virus \nIt affected the direction and movement of the ball.\n#WATLIV @akaebube @LFC @frankedoho @MFolarin @premierleague',"Ibadan, Nigeria",2020-02-29 21:46:15
"b'Isn\xe2\x80\x99t this sanitizer supposed to be cheaper so that everyone can afford it and it makes it easier to fight this corona virus. I swear, Nigeria\xe2\x80\x99s problem is not only the leaders. All of us get hand for this problem.'","Lagos, Nigeria",2020-02-29 21:45:47
"b""BREAKING NEWS.....\nBuhari raises prices of respirators, nose masks and Corona Virus resistant condoms...\n\nOh... Sorry... Wait...False Alert.\n\nIt's ordinary Nigerians that are responsible for this wickedness....\nBuhari is not involved.""",Abuja/Lagos ,2020-02-29 21:44:15
"b'@thehill @ChangingAmerica Corona-virus related.. because we shipped whole a*s industries to China, and go figure, they\'re keeping the supplies we ordered because they need it\n\nThey also nationalized a US ""owned"" factory that manufactures respirators\n\nUnfortunate, but predictable. \n\neggs and baskets'",Pacific Northwest,2020-02-29 21:42:50
b'Then somebody with corona virus suddenly go cough for the pent there. Haha nbs hotspot ego happen for that place.',GHANA,2020-02-29 21:42:09
"b'Watford is our corona virus, may we recover quickly.'","Kano, Nigeria",2020-02-29 21:41:53
b'@Dray4lyf @toolzbabe Someone will get Corona Virus of this #Pele post...\nBuh still Messi\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f',Ejura Ashanti,2020-02-29 21:41:52
"b""@renoomokri @MBuhari I can't believe that the president has not addressed the nation as regards the corona Virus outbreak in Nigeria. It is only in Nigeria that we don't know our priorities.""","Lagos, Nigeria",2020-02-29 21:41:37
b'If this happens then we will be free of  Corona Virus in Nigeria \xf0\x9f\x87\xb3\xf0\x9f\x87\xac God please make this happen \xf0\x9f\x99\x8f',"Abuja, Nigeria",2020-02-29 21:41:24
b'@Kinglamarr___ I heard corona virus can get the job done faster',"Lagos, Nigeria",2020-02-29 21:39:09
"b""@MBuhari Corona Virus has been confirmed in Nigeria, Wouldn't it be nice of you to actually DO your job, and address the nation, just to reassure them in the midst the crisis???? Lol.\nAre you even in the country?""","Lagos, Nigeria",2020-02-29 21:37:37
b'Make sure you pray before you sleep tonight ooo...\nCorona virus \xf0\x9f\xa6\xa0 is outside seeking for whom to devour',Lagos,2020-02-29 21:37:36
"b""The number of calls I've received from friends and family checking up on me and telling me to take care of myself from this CORONA VIRUS eh.\n\nI will just leave this Lagos o\nI can't have people worrying na.""","Kaduna, Nigeria",2020-02-29 21:37:18
b'#TrumpVirusHoax Yes play over and over his statement that the Corona Virus is a DEM HOAX meant to get him out of office!!!!!!!!!!!!! https://t.co/JcsoNi30IF',VA,2020-02-29 21:37:16
b'@spectaatorindex @isl3y Fools...does corona virus sound like a joke to You?',"Abuja, Nigeria",2020-02-29 21:37:06
b'@wickym @Illasist @komonews Ok the President did not say the corona virus is a hoax.  He said that the Democrats criticism of his response to the outbreak is their new hoax.',Pacific Northwest,2020-02-29 21:36:58
"b'do not.. if u do, you can get infected with corona virus https://t.co/CLeD7iaxXn'","Lagos, Nigeria",2020-02-29 21:36:32
b'@ChinaScience Keep technology aside and focus on corona virus  #GENG',"Lagos, Nigeria",2020-02-29 21:36:06
"b""@AbujaRUG @RConsortium @BusinessDataLab @DataScienceNIG @rstudio Kudos to everyone. Couldn't hold in Lagos due to Corona virus.""","Lagos, Nigeria.",2020-02-29 21:35:58
"b'@_madugu9 No VAR today,i head it tested positive to corona virus'","Adenta, Ghana",2020-02-29 21:35:01
"b'@shattawalegh @EnochYe67531962 No VAR today,i head it tested positive to corona virus'","Adenta, Ghana",2020-02-29 21:34:04
"b""The only that tRump cares about is Pence giving PoTuS credit for quick response. Which is BS.  The Corona Virus is 20x more deadly than the flu, but tRump things the flu is worse because it has  killed more people.  tRump doesn't understand basic statistics. #TheResistance https://t.co/X4lE59EE5P""",The Great Pacific Northwest,2020-02-29 21:33:47
b'Population density and the togetherness of Northerners can result in a massive skyrocketing of infections should Corona virus get to the North.',lagos,2020-02-29 21:31:20
b'@BelloHadiyyah Market ba ciniki\nIs this corona virus faaa oll of em are sick',"Kano, Nigeria",2020-02-29 21:30:29
"b'Corona virus is not coming to the court, it is coming to kill...desperate situations call for very desperate measures. https://t.co/yQ8h5t6ght'",Lagos,2020-02-29 21:29:40
"b""By all means make sure Corona virus does not get to Northern Nigeria....I repeat steps must be taken to ensure it doesn't get to Northern Nigeria...#COVID19Nigeria #COVID19 @TheNationNews @MBuhari""",lagos,2020-02-29 21:29:32
b'@pmnewsnigeria Omo\xf0\x9f\x98\x82.. Even Allah house dey fear corona virus.. I thought God resides inside Kaaba?\n\xf0\x9f\x98\x82\xf0\x9f\xa4\xa3',somewhere in Nigeria,2020-02-29 21:29:18
b'Corona virus patient in Lagos is improving- Lagos State  https://t.co/epyjRrmHty News',"Lagos, Nigeria",2020-02-29 21:28:36
"b'Put your ears to the ground. Nigeria pastors trust them to make more monies, will soon be prophetising  that paying your tithes diligently, will prevent you from contracting the corona virus.'","Lagos, Nigeria",2020-02-29 21:28:26
b'@toperants @Techpointdotng @techpoint @SMEbyTechpoint And tell your folks about corona virus while at it. Get a health officer on standby.',"Lagos, Nigeria",2020-02-29 21:27:49
b'@AbbaJidda1 @OfficialAPCNg @DokunOjomo APC= Aids poverty Corona virus',Lagos,2020-02-29 21:27:00
b'There is a certain nonchalance towards the threat of Corona virus on the streets of Lagos....Its very scary #covid19 #coronavirus.',lagos,2020-02-29 21:24:37
"b'@DailyPostNGR Meanwhile in Nigeria,i have not seen the President mentioned the corona virus in Nigeria.'","portharcourt,nigeria",2020-02-29 21:24:30
"b'Of not that madness reigns supreme in Nigeria how does one explain nose mask selling for N7,500 per pack? What if the corona virus kills us all who will be alive to spend the profit?'",Lagos-Nigeria,2020-02-29 21:24:28
"b""@katgal2 @BlueWave215 They won't. They don't want him to give real facts, so they can lie and tell their version of the Corona virus Outbreak!""",Me,2020-02-29 21:23:50
"b""Pls can't dey stop people from coming into Nigeria at least until corona virus is defeated now one China man has been quarantined in plateau #CoronaVirusUpdates #NigeriaNews. God pls save us""",Abuja,2020-02-29 21:23:45
b'Corona Virus is just a hoax --Trump \n\nImagine Buhari made this statement. \xf0\x9f\xa4\xb7',Nigeria ,2020-02-29 21:23:17
b'The hazard of covid  19 which is popularly known as corona virus resulting the inflation of face mask before it reach any where so i pray may Allah stop it from one person. \n@__usyy',Kano Nigeria ,2020-02-29 21:22:40
"b'After Nigeria, another man from Italy took Corona Virus to Israel. https://t.co/s9QeMO9KBJ'","Kaduna, Nigeria",2020-02-29 21:21:50
b'Just imagine sex is the only vaccine/cure for Corona virus \xf0\x9f\x98\x80\n.\n.\n .\n.\n#coronavirusinlagos \n#IykeresaTraditionalWedding \nLiverpool',Lagos,2020-02-29 21:21:31
b'Extreme capitalism. This is so wrong. They are using the corona virus scare to overly exploit the society https://t.co/5Sttc4xYRZ',Nigeria,2020-02-29 21:21:13
